,$SPX,Cummulative_Value
2009-09-11,1042.73,12369.0
2009-09-14,1049.34,12369.0
2009-09-15,1052.63,12369.0
2009-09-16,1068.76,12369.0
2009-09-17,1065.49,12369.0
2009-09-18,1068.3,12369.0
2009-09-21,1064.66,12420.0
2009-09-22,1071.66,12416.0
2009-09-23,1060.87,12491.0
2009-09-24,1050.78,12480.0
2009-09-25,1044.38,12467.0
2009-09-28,1062.98,12633.0
2009-09-29,1060.61,12682.0
2009-09-30,1057.08,12682.0
2009-10-01,1029.85,12682.0
2009-10-02,1025.21,12682.0
2009-10-05,1040.46,12682.0
2009-10-06,1054.72,12682.0
2009-10-07,1057.58,12682.0
2009-10-08,1065.48,12682.0
2009-10-09,1071.49,12682.0
2009-10-12,1076.19,12682.0
2009-10-13,1073.19,12682.0
2009-10-14,1092.02,12682.0
2009-10-15,1096.56,12682.0
2009-10-16,1087.68,13283.0
2009-10-19,1097.91,13283.0
2009-10-20,1091.06,13283.0
2009-10-21,1081.4,13283.0
2009-10-22,1092.91,13283.0
2009-10-23,1079.6,13283.0
2009-10-26,1066.95,13283.0
2009-10-27,1063.41,13283.0
2009-10-28,1042.63,13283.0
2009-10-29,1066.11,13283.0
2009-10-30,1036.19,13283.0
2009-11-02,1042.88,13283.0
2009-11-03,1045.41,13283.0
2009-11-04,1046.5,13283.0
2009-11-05,1066.63,13283.0
2009-11-06,1069.3,13283.0
2009-11-09,1093.08,13283.0
2009-11-10,1093.01,13283.0
2009-11-11,1098.51,13283.0
2009-11-12,1087.24,13283.0
2009-11-13,1093.48,13283.0
2009-11-16,1109.3,13283.0
2009-11-17,1110.32,13283.0
2009-11-18,1109.8,13283.0
2009-11-19,1094.9,13283.0
2009-11-20,1091.38,13283.0
2009-11-23,1106.24,13283.0
2009-11-24,1105.65,13283.0
2009-11-25,1110.63,13283.0
2009-11-27,1091.49,13283.0
2009-11-30,1095.63,13283.0
2009-12-01,1108.86,13283.0
2009-12-02,1109.24,13283.0
2009-12-03,1099.92,13283.0
2009-12-04,1105.98,13283.0
2009-12-07,1103.25,13283.0
2009-12-08,1091.94,13283.0
2009-12-09,1095.95,13283.0
2009-12-10,1102.35,13283.0
2009-12-11,1106.41,13283.0
2009-12-14,1114.11,13283.0
2009-12-15,1107.93,13420.0
2009-12-16,1109.18,13399.0
2009-12-17,1096.08,13524.0
2009-12-18,1102.47,13524.0
2009-12-21,1114.05,13524.0
2009-12-22,1118.02,13524.0
2009-12-23,1120.59,13524.0
2009-12-24,1126.48,13524.0
2009-12-28,1127.78,13524.0
2009-12-29,1126.2,13524.0
